,complexity,loss,equation,score,sympy_format,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,sympy_eq
26,28,3.8047135,((DST - (Np * 1.8461952)) * -0.057907775) + (((Bzsouth - -0.64244246) * -0.0024093296) * ((sqrt(Bmag / Np) * DST) + (Vp + (Np * (-1.1599557 + Bzsouth))))),7.926381176033095e-05,((DST - (Np * 1.8461952)) * -0.057907775) + (((Bzsouth - -0.64244246) * -0.0024093296) * ((sqrt(Bmag / Np) * DST) + (Vp + (Np * (-1.1599557 + Bzsouth))))),14.621962264150945,17.41175,11.164679245283018,12.66685,0.7170754716981133,0.6902,17.100943396226416,20.9497,-0.057907775*DST + 0.10690905624768*Np + (-0.0024093296*Bzsouth - 0.00154785563517482)*(DST*sqrt(Bmag/Np) + Np*(Bzsouth - 1.1599557) + Vp)
27,30,3.8047452,((DST - (Np / 0.50610435)) * -0.05700501) - ((((Vp + (DST / sqrt((Np + 0.03913548) / Bmag))) + (Bmag + (Bzsouth * Np))) * (Bzsouth + 0.68669724)) * 0.0022875767),3.508653247072176e-05,((DST - (Np / 0.50610435)) * -0.05700501) - ((((Vp + (DST / sqrt((Np + 0.03913548) / Bmag))) + (Bmag + (Bzsouth * Np))) * (Bzsouth + 0.68669724)) * 0.0022875767),14.700415094339624,17.216150000000003,11.190735849056605,12.57125,0.7141320754716982,0.6994000000000001,17.19811320754717,20.51105,-0.05700501*DST + 0.112634894365164*Np - 0.0022875767*(Bzsouth + 0.68669724)*(Bmag + Bzsouth*Np + DST/sqrt((Np + 0.03913548)/Bmag) + Vp)
28,27,3.8047533,(DST * -0.06597593) - neg(((sqrt(Np) + -1.8361402) - ((((sqrt(sqrt(Np)) * Vp) + DST) * 0.0024798387) * (Bzsouth + 0.43400928))) + (Bzsouth / 1.6291528)),1.0644523115107984e-05,(DST * -0.06597593) - neg(((sqrt(Np) + -1.8361402) - ((((sqrt(sqrt(Np)) * Vp) + DST) * 0.0024798387) * (Bzsouth + 0.43400928))) + (Bzsouth / 1.6291528)),14.71377358490566,18.1933,11.143886792452832,13.729699999999998,0.7297924528301886,0.6799499999999999,16.99632075471698,22.2908,-0.06597593*DST - neg(0.61381596618807*Bzsouth + sqrt(Np) - (Bzsouth + 0.43400928)*(0.0024798387*DST + 0.0024798387*Np**(1/4)*Vp) - 1.8361402)
29,26,3.8047938,(DST * -0.064612396) - (((((Vp * sqrt(sqrt(Np))) + DST) * 0.0024686735) * (Bzsouth + 0.42736304)) - (((Bzsouth / 1.6374867) + -1.8361787) + sqrt(Np))),0.0003709599946788,(DST * -0.064612396) - (((((Vp * sqrt(sqrt(Np))) + DST) * 0.0024686735) * (Bzsouth + 0.42736304)) - (((Bzsouth / 1.6374867) + -1.8361787) + sqrt(Np))),14.765528301886794,18.358649999999994,11.1561320754717,13.874099999999999,0.7271886792452831,0.6763,17.052188679245283,22.388249999999996,0.610691983024961*Bzsouth - 0.064612396*DST + sqrt(Np) - (Bzsouth + 0.42736304)*(0.0024686735*DST + 0.0024686735*Np**(1/4)*Vp) - 1.8361787
30,28,3.8050122,((DST - (Np / 0.50610435)) * -0.05700501) - (((Vp + ((DST / sqrt(Np / Bmag)) + (Bmag + (Bzsouth * Np)))) * (Bzsouth + 0.68669724)) * 0.0022875767),0.0002157871655541,((DST - (Np / 0.50610435)) * -0.05700501) - (((Vp + ((DST / sqrt(Np / Bmag)) + (Bmag + (Bzsouth * Np)))) * (Bzsouth + 0.68669724)) * 0.0022875767),14.694113207547169,17.341900000000003,11.186792452830188,12.607149999999999,0.7143018867924527,0.6947500000000001,17.191566037735846,20.7349,-0.05700501*DST + 0.112634894365164*Np - 0.0022875767*(Bzsouth + 0.68669724)*(Bmag + Bzsouth*Np + DST/sqrt(Np/Bmag) + Vp)
31,26,3.8052928,-0.058382656 * ((((Bzsouth + 0.6877242) * ((DST / sqrt(Np / Bmag)) + ((Np * Bzsouth) + Vp))) * 0.040499095) + (DST - (Np * 1.9212909))),0.0017152160477944,-0.058382656 * ((((Bzsouth + 0.6877242) * ((DST / sqrt(Np / Bmag)) + ((Np * Bzsouth) + Vp))) * 0.040499095) + (DST - (Np * 1.9212909))),14.632811320754715,17.44455,11.16352830188679,12.690499999999998,0.7167358490566038,0.6905500000000002,17.109150943396227,20.958000000000002,-0.058382656*DST + 0.11217006569063*Np - 0.00236444473169632*(Bzsouth + 0.6877242)*(Bzsouth*Np + DST/sqrt(Np/Bmag) + Vp)
32,26,3.8053167,(((DST * sqrt(Bmag / Np)) + ((Bzsouth * Np) + Vp)) * ((Bzsouth - -0.6548315) * -0.0023896703)) + ((DST - (Np * 1.9410938)) * -0.057907775),0.0009524295102116,(((DST * sqrt(Bmag / Np)) + ((Bzsouth * Np) + Vp)) * ((Bzsouth - -0.6548315) * -0.0023896703)) + ((DST - (Np * 1.9410938)) * -0.057907775),14.69122641509434,17.441749999999995,11.206415094339624,12.6735,0.7138867924528303,0.6912,17.086622641509432,20.870500000000003,-0.057907775*DST + 0.112404423024295*Np + (-0.0023896703*Bzsouth - 0.00156483138705445)*(Bzsouth*Np + DST*sqrt(Bmag/Np) + Vp)
33,22,3.8054855,(sqrt(Np) + (-2.5192704 - (DST / 15.331889))) + (((DST + -252.33818) + (Vp * sqrt(sqrt(Np)))) * (Bzsouth * -0.0025272262)),0.0019693717157059,(sqrt(Np) + (-2.5192704 - (DST / 15.331889))) + (((DST + -252.33818) + (Vp * sqrt(sqrt(Np)))) * (Bzsouth * -0.0025272262)),14.997358490566038,19.30325,11.37024528301887,14.949800000000002,0.7176792452830187,0.6308,17.315679245283018,22.7956,-0.0025272262*Bzsouth*(DST + Np**(1/4)*Vp - 252.33818) - 0.0652235350777716*DST + sqrt(Np) - 2.5192704
34,26,3.8055072,(Np * 0.13241224) - ((((Vp + DST) * ((((sqrt(Np) * Bzsouth) + Bzsouth) + 3.2601273) * -0.011131013)) - DST) * ((0.1517603 / Bmag) + -0.08236732)),0.001489414320547,(Np * 0.13241224) - ((((Vp + DST) * ((((sqrt(Np) * Bzsouth) + Bzsouth) + 3.2601273) * -0.011131013)) - DST) * ((0.1517603 / Bmag) + -0.08236732)),14.209264150943396,14.76015,10.87335849056604,11.2812,0.7374716981132076,0.76275,16.01767924528302,17.20515,0.13241224*Np - (-0.08236732 + 0.1517603/Bmag)*(-DST + (DST + Vp)*(-0.011131013*Bzsouth*sqrt(Np) - 0.011131013*Bzsouth - 0.0362885193579549))
35,26,3.8066547,((DST - (Np / 0.5325926)) * -0.05700501) - (((Vp + ((DST / sqrt(Np / Bmag)) + (Bzsouth * Np))) * (Bzsouth + 0.6891105)) * 0.0022875767),0.0014726500489993,((DST - (Np / 0.5325926)) * -0.05700501) - (((Vp + ((DST / sqrt(Np / Bmag)) + (Bzsouth * Np))) * (Bzsouth + 0.6891105)) * 0.0022875767),14.594037735849055,17.385150000000003,11.108075471698115,12.61155,0.7191132075471697,0.6916,17.225075471698116,21.0565,-0.05700501*DST + 0.107033049276314*Np - 0.0022875767*(Bzsouth + 0.6891105)*(Bzsouth*Np + DST/sqrt(Np/Bmag) + Vp)
36,27,3.8072968,((((((((Vp - Np) + (DST * 0.58365685)) * 0.02141898) - 2.4867167) * Bzsouth) * sqrt(Np - -0.15907261)) + DST) * -0.06277147) + (sqrt(Np) - 2.4867167),1.3421415994861107e-05,((((((((Vp - Np) + (DST * 0.58365685)) * 0.02141898) - 2.4867167) * Bzsouth) * sqrt(Np - -0.15907261)) + DST) * -0.06277147) + (sqrt(Np) - 2.4867167),14.864358490566037,19.69565,11.296094339622641,15.503049999999998,0.7176603773584906,0.6310999999999999,16.812396226415093,22.39895,-0.06277147*Bzsouth*sqrt(Np + 0.15907261)*(0.012501334397013*DST - 0.02141898*Np + 0.02141898*Vp - 2.4867167) - 0.06277147*DST + sqrt(Np) - 2.4867167
