complexity,loss,equation,score,sympy_format,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
12,3.8565981,sqrt(P_dyn) * ((VBs + (DST * (34.83736 - P_dyn))) * -0.0011820039),0.0027313712136319,sqrt(P_dyn) * ((VBs + (DST * (34.83736 - P_dyn))) * -0.0011820039),PySRFunction(X=>sqrt(P_dyn) * ((VBs + (DST * (34.83736 - P_dyn))) * -0.0011820039)),13,26.775884503630532,19.497652109803518,0.521437562436365,0.879852963698886,32.3307591623333
12,3.856597,(sqrt(P_dyn) * (((P_dyn - 34.82817) * DST) - VBs)) * 0.0011820125,0.0027317081568625,(sqrt(P_dyn) * (((P_dyn - 34.82817) * DST) - VBs)) * 0.0011820125,PySRFunction(X=>(sqrt(P_dyn) * (((P_dyn - 34.82817) * DST) - VBs)) * 0.0011820125),37,26.78297642892587,19.502734582665973,0.5212851566347446,0.8798462641462684,32.336121555135364
12,3.8565967,((DST * (34.822666 - P_dyn)) + VBs) / (-846.1684 / sqrt(P_dyn)),0.0027317859456518,((DST * (34.822666 - P_dyn)) + VBs) / (-846.1684 / sqrt(P_dyn)),PySRFunction(X=>((DST * (34.822666 - P_dyn)) + VBs) / (-846.1684 / sqrt(P_dyn))),56,26.7870204194377,19.50591606091646,0.5211865618131948,0.8798325884679272,32.33949336680401
12,3.8565986,((((34.82096 - P_dyn) * DST) + VBs) * sqrt(P_dyn)) * -0.0011829765,0.0027312932834214,((((34.82096 - P_dyn) * DST) + VBs) * sqrt(P_dyn)) * -0.0011829765,PySRFunction(X=>((((34.82096 - P_dyn) * DST) + VBs) * sqrt(P_dyn)) * -0.0011829765),45,26.789452714743824,19.50613565051995,0.5211962225903923,0.8798829406025698,32.33964082842787
12,3.856597,((VBs - (DST * (P_dyn + -34.817825))) * -0.0011818527) * sqrt(P_dyn),0.002731527144826,((VBs - (DST * (P_dyn + -34.817825))) * -0.0011818527) * sqrt(P_dyn),PySRFunction(X=>((VBs - (DST * (P_dyn + -34.817825))) * -0.0011818527) * sqrt(P_dyn)),20,26.79080927177144,19.50856538154338,0.5211076554686164,0.879831252416183,32.342284457150086
12,3.856597,(sqrt(P_dyn) * ((DST * (P_dyn + -34.813786)) - VBs)) / 846.1696,0.002731527144826,(sqrt(P_dyn) * ((DST * (P_dyn + -34.813786)) - VBs)) / 846.1696,PySRFunction(X=>(sqrt(P_dyn) * ((DST * (P_dyn + -34.813786)) - VBs)) / 846.1696),55,26.793875549183507,19.510842347439432,0.5210384230874932,0.8798256371656308,32.34468980810082
12,3.8565974,(sqrt(P_dyn) * -0.0011819659) * (VBs + ((34.807854 - P_dyn) * DST)),0.0027314234264495,(sqrt(P_dyn) * -0.0011819659) * (VBs + ((34.807854 - P_dyn) * DST)),PySRFunction(X=>(sqrt(P_dyn) * -0.0011819659) * (VBs + ((34.807854 - P_dyn) * DST))),19,26.798621085703093,19.51403782343592,0.5209447940808896,0.8798284990309385,32.34804665441073
12,3.8565974,(VBs + ((34.806858 - P_dyn) * DST)) * (sqrt(P_dyn) / -846.29047),0.0027314234264495,(VBs + ((34.806858 - P_dyn) * DST)) * (sqrt(P_dyn) / -846.29047),PySRFunction(X=>(VBs + ((34.806858 - P_dyn) * DST)) * (sqrt(P_dyn) / -846.29047)),39,26.79907037834267,19.51480298787685,0.5209171846875883,0.8798128262738093,32.34887558026954
12,3.8565981,(sqrt(P_dyn) * (VBs + ((34.79908 - P_dyn) * DST))) * -0.0011820279,0.0027312419193167,(sqrt(P_dyn) * (VBs + ((34.79908 - P_dyn) * DST))) * -0.0011820279,PySRFunction(X=>(sqrt(P_dyn) * (VBs + ((34.79908 - P_dyn) * DST))) * -0.0011820279),16,26.80546789288814,19.51888551188713,0.5207998876533597,0.8798244079363983,32.35315191639286
12,3.8567836,sqrt(P_dyn) * ((((34.77368 - P_dyn) * DST) + VBs) * -0.001192738),0.0026831436902259,sqrt(P_dyn) * ((((34.77368 - P_dyn) * DST) + VBs) * -0.001192738),PySRFunction(X=>sqrt(P_dyn) * ((((34.77368 - P_dyn) * DST) + VBs) * -0.001192738)),38,26.83573885850127,19.52629417573052,0.5206969655426124,0.8802664910005216,32.360330018668556
23,3.841467,((sqrt(VBs / 0.5624492) + ((DST + DST) + (sqrt(P_dyn) * ((VBs * 0.062473185) + DST)))) * -0.01719749) - (0.12497184 / P_dyn),9.566200162262252e-05,((sqrt(VBs / 0.5624492) + ((DST + DST) + (sqrt(P_dyn) * ((VBs * 0.062473185) + DST)))) * -0.01719749) - (0.12497184 / P_dyn),PySRFunction(X=>((sqrt(VBs / 0.5624492) + ((DST + DST) + (sqrt(P_dyn) * ((VBs * 0.062473185) + DST)))) * -0.01719749) - (0.12497184 / P_dyn)),28,28.05874164325321,21.052067815436736,-0.11154100141682081,0.7822633518020978,28.468111398062753
28,3.8233197,((VBs * -0.0023069335) + ((DST - (((P_dyn / 1.157283) - inv(P_dyn * 0.34336194)) * ((VBs * -0.0012032847) + 1.2850027))) * ((VBs * -5.7756174e-6) + -0.057936925))) + -0.14115039,1.9014708295933503e-05,((VBs * -0.0023069335) + ((DST - (((P_dyn / 1.157283) - inv(P_dyn * 0.34336194)) * ((VBs * -0.0012032847) + 1.2850027))) * ((VBs * -5.7756174e-6) + -0.057936925))) + -0.14115039,PySRFunction(X=>((VBs * -0.0023069335) + ((DST - (((P_dyn / 1.157283) - inv(P_dyn * 0.34336194)) * ((VBs * -0.0012032847) + 1.2850027))) * ((VBs * -5.7756174e-6) + -0.057936925))) + -0.14115039),53,28.634423894040093,20.91683900271152,-0.501027516837778,0.7084277308644854,31.576755352344257
30,3.8230035,(VBs * -0.0023069335) + (((DST - ((((P_dyn / 1.0538821) / 1.0538821) - inv(P_dyn * 0.34336194)) * ((VBs * -0.0012032847) + 1.2850027))) * ((VBs * -5.7756174e-6) + -0.057936925)) + -0.14115039),4.1353208844258905e-05,(VBs * -0.0023069335) + (((DST - ((((P_dyn / 1.0538821) / 1.0538821) - inv(P_dyn * 0.34336194)) * ((VBs * -0.0012032847) + 1.2850027))) * ((VBs * -5.7756174e-6) + -0.057936925)) + -0.14115039),PySRFunction(X=>(VBs * -0.0023069335) + (((DST - ((((P_dyn / 1.0538821) / 1.0538821) - inv(P_dyn * 0.34336194)) * ((VBs * -0.0012032847) + 1.2850027))) * ((VBs * -5.7756174e-6) + -0.057936925)) + -0.14115039)),53,28.83361921799355,21.02906665075745,-0.5020397202358288,0.7090011224844827,31.79942840736921
24,3.8267632,(((VBs * -5.7756174e-6) + -0.057936925) * (DST - ((P_dyn - inv(P_dyn * 0.326342)) * ((VBs * -0.0012032847) + 1.4307532)))) + (VBs * -0.0023069335),0.0003516975661907,(((VBs * -5.7756174e-6) + -0.057936925) * (DST - ((P_dyn - inv(P_dyn * 0.326342)) * ((VBs * -0.0012032847) + 1.4307532)))) + (VBs * -0.0023069335),PySRFunction(X=>(((VBs * -5.7756174e-6) + -0.057936925) * (DST - ((P_dyn - inv(P_dyn * 0.326342)) * ((VBs * -0.0012032847) + 1.4307532)))) + (VBs * -0.0023069335)),53,30.9699109089675,22.331603712604952,-0.8747361045057467,0.6977879618624627,33.51065409587
30,3.8037708,(((((P_dyn * VBs) - square(DST - P_dyn)) / -12.420699) + ((DST / P_dyn) * ((epsilon * -0.00019226954) + 1.9891078))) - (((DST - P_dyn) * 23.612808) + VBs)) * 0.0019458475,0.0001762306312533,(((((P_dyn * VBs) - square(DST - P_dyn)) / -12.420699) + ((DST / P_dyn) * ((epsilon * -0.00019226954) + 1.9891078))) - (((DST - P_dyn) * 23.612808) + VBs)) * 0.0019458475,PySRFunction(X=>(((((P_dyn * VBs) - square(DST - P_dyn)) / -12.420699) + ((DST / P_dyn) * ((epsilon * -0.00019226954) + 1.9891078))) - (((DST - P_dyn) * 23.612808) + VBs)) * 0.0019458475),13,50.68285573166945,31.628303084386534,-22.569324083387862,0.7267639023254181,33.06228429961251
