,complexity,loss,equation,score,sympy_format,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,sympy_eq
177,25,3.8073704,(((VBs - ((DST - 5.9018655) / -0.058798596)) * (sqrt(P_dyn) + 0.4957765)) - square(P_dyn + (DST * 0.52491283))) / ((DST + -825.67914) + DST),0.0003757350093844,(((VBs - ((DST - 5.9018655) / -0.058798596)) * (sqrt(P_dyn) + 0.4957765)) - square(P_dyn + (DST * 0.52491283))) / ((DST + -825.67914) + DST),inf,inf,inf,inf,-inf,-inf,inf,inf,((sqrt(P_dyn) + 0.4957765)*(17.0072088115845*DST + VBs - 100.374258936387) - square(0.52491283*DST + P_dyn))/(2*DST - 825.67914)
178,23,3.8074276,(((DST - 2.369831) * -0.020292275) - ((VBs - DST) / (1102.4672 - (square(DST) * (-0.09143939 / P_dyn))))) * (sqrt(P_dyn) + 1.2346466),0.00036306639879,(((DST - 2.369831) * -0.020292275) - ((VBs - DST) / (1102.4672 - (square(DST) * (-0.09143939 / P_dyn))))) * (sqrt(P_dyn) + 1.2346466),15.195660377358488,15.7279,11.917943396226413,11.9792,0.6958113207547173,0.73705,16.808641509433965,18.497,(sqrt(P_dyn) + 1.2346466)*(-0.020292275*DST + 0.048089262355525 - (-DST + VBs)/(1102.4672 + 0.09143939*square(DST)/P_dyn))
179,23,3.8074965,(sqrt(P_dyn) + -1.2022004) + ((((VBs * inv(((DST * 0.254311) / P_dyn) - 17.705027)) - DST) * (P_dyn + 17.705027)) * 0.002577384),0.0016082676024392,(sqrt(P_dyn) + -1.2022004) + ((((VBs * inv(((DST * 0.254311) / P_dyn) - 17.705027)) - DST) * (P_dyn + 17.705027)) * 0.002577384),inf,inf,inf,inf,-inf,-inf,inf,inf,0.002577384*(-DST + VBs/(0.254311*DST/P_dyn - 17.705027))*(P_dyn + 17.705027) + sqrt(P_dyn) - 1.2022004
180,24,3.8075094,0.00016337103 * ((((DST + -208.93939) - sqrt(epsilon / P_dyn)) * (DST + (-3.1035297 * (P_dyn - 1.0737357)))) + (VBs * (-11.962739 - P_dyn))),9.845362192634326e-05,0.00016337103 * ((((DST + -208.93939) - sqrt(epsilon / P_dyn)) * (DST + (-3.1035297 * (P_dyn - 1.0737357)))) + (VBs * (-11.962739 - P_dyn))),inf,inf,inf,inf,-inf,-inf,inf,inf,0.00016337103*VBs*(-P_dyn - 11.962739) + 0.00016337103*(DST - 3.1035297*P_dyn + 3.33237063490029)*(DST - sqrt(epsilon/P_dyn) - 208.93939)
181,28,3.807538,((((VBs * ((sqrt(sqrt(P_dyn + (-0.08616201 / -0.487193))) + -0.40008307) + (DST * 0.0028747935))) * -0.003319425) + (sqrt(P_dyn) + (DST * -0.05471012))) + -1.2994225) / 1.0190581,1.3308770961186112e-05,((((VBs * ((sqrt(sqrt(P_dyn + (-0.08616201 / -0.487193))) + -0.40008307) + (DST * 0.0028747935))) * -0.003319425) + (sqrt(P_dyn) + (DST * -0.05471012))) + -1.2994225) / 1.0190581,inf,inf,inf,inf,-inf,-inf,inf,inf,-0.0536869487618027*DST - 0.00325734617093962*VBs*(0.0028747935*DST + sqrt(sqrt(P_dyn + 0.176853957261291)) - 0.40008307) + 0.981298318515892*sqrt(P_dyn) - 1.27512111429172
182,23,3.8076425,((((VBs * -0.001177212) + 0.91016906) * (sqrt(P_dyn) + 0.66872996)) + -2.0990684) + square(-0.78180206 - ((DST + (VBs * -0.006235687)) * -0.016894126)),0.0033221775668494,((((VBs * -0.001177212) + 0.91016906) * (sqrt(P_dyn) + 0.66872996)) + -2.0990684) + square(-0.78180206 - ((DST + (VBs * -0.006235687)) * -0.016894126)),inf,inf,inf,inf,-inf,-inf,inf,inf,(0.91016906 - 0.001177212*VBs)*(sqrt(P_dyn) + 0.66872996) + square(0.016894126*DST - 0.000105346481874562*VBs - 0.78180206) - 2.0990684
183,28,3.8077128,(((VBs * ((0.003992616 * ((P_dyn - inv(-0.55583626)) + (DST * (0.052429516 / sqrt(P_dyn))))) + 0.043750983)) - square(DST * -0.06390526)) + (DST - P_dyn)) * -0.040698342,3.309067625250044e-06,(((VBs * ((0.003992616 * ((P_dyn - inv(-0.55583626)) + (DST * (0.052429516 / sqrt(P_dyn))))) + 0.043750983)) - square(DST * -0.06390526)) + (DST - P_dyn)) * -0.040698342,14.875754716981131,16.2313,11.531867924528303,12.112350000000003,0.6886981132075471,0.73595,16.095792452830192,19.6308,-0.040698342*DST + 0.040698342*P_dyn - 0.040698342*VBs*(0.000209330924453856*DST/sqrt(P_dyn) + 0.003992616*P_dyn + 0.0509340624198277) + 0.040698342*square(-0.06390526*DST)
184,27,3.8077254,((DST + ((VBs * ((0.003992616 * ((P_dyn - -1.6578197) + ((0.052429516 / sqrt(P_dyn)) * DST))) + 0.043750983)) - square(DST * -0.06390526))) - P_dyn) * -0.040698342,0.0006395474616481,((DST + ((VBs * ((0.003992616 * ((P_dyn - -1.6578197) + ((0.052429516 / sqrt(P_dyn)) * DST))) + 0.043750983)) - square(DST * -0.06390526))) - P_dyn) * -0.040698342,14.809169811320753,16.2231,11.48777358490566,12.101249999999999,0.693188679245283,0.7363000000000001,16.060679245283023,19.7205,-0.040698342*DST + 0.040698342*P_dyn - 0.040698342*VBs*(0.000209330924453856*DST/sqrt(P_dyn) + 0.003992616*P_dyn + 0.0503700204593352) + 0.040698342*square(-0.06390526*DST)
185,24,3.8077407,((((((DST * 0.0028747935) + sqrt(sqrt(P_dyn + 0.17685395))) + -0.40008307) * VBs) * -0.003319425) + sqrt(P_dyn)) + ((DST * -0.05471012) + -1.2994225),0.0002595878883409,((((((DST * 0.0028747935) + sqrt(sqrt(P_dyn + 0.17685395))) + -0.40008307) * VBs) * -0.003319425) + sqrt(P_dyn)) + ((DST * -0.05471012) + -1.2994225),inf,inf,inf,inf,-inf,-inf,inf,inf,-0.05471012*DST - 0.003319425*VBs*(0.0028747935*DST + sqrt(sqrt(P_dyn + 0.17685395)) - 0.40008307) + sqrt(P_dyn) - 1.2994225
186,22,3.8077693,(-0.0011471914 * ((sqrt((1587.8507 * sqrt(P_dyn)) + VBs) * DST) + (sqrt(P_dyn - -2.220118) * (VBs - DST)))) / 0.9569598,0.0001517571326828,(-0.0011471914 * ((sqrt((1587.8507 * sqrt(P_dyn)) + VBs) * DST) + (sqrt(P_dyn - -2.220118) * (VBs - DST)))) / 0.9569598,inf,inf,inf,inf,-inf,-inf,inf,inf,-0.0011987874516777*DST*sqrt(VBs + 1587.8507*sqrt(P_dyn)) - 0.0011987874516777*(-DST + VBs)*sqrt(P_dyn + 2.220118)
187,29,3.8079503,(((((sqrt(P_dyn) - -1.361905) * (((DST - 15.971101) * 14.480456) + VBs)) - (P_dyn * DST)) + (sqrt((VBs + 86.81753) - DST) * DST)) * -0.0009491641) - 0.48828974,0.0001599948697664,(((((sqrt(P_dyn) - -1.361905) * (((DST - 15.971101) * 14.480456) + VBs)) - (P_dyn * DST)) + (sqrt((VBs + 86.81753) - DST) * DST)) * -0.0009491641) - 0.48828974,inf,inf,inf,inf,-inf,-inf,inf,inf,0.0009491641*DST*P_dyn - 0.0009491641*DST*sqrt(-DST + VBs + 86.81753) - 0.0009491641*(sqrt(P_dyn) + 1.361905)*(14.480456*DST + VBs - 231.268825302056) - 0.48828974
