complexity,loss,equation,score,sympy_format,lambda_format,simulation
25,3.7953234,((((DST + ((VBs - DST) * ((DST * (0.00046556332 / (P_dyn - -0.7339573))) - -0.04735173))) * -0.04735173) - -1.0896462) * sqrt(sqrt(P_dyn))) - 1.1561314,7.3295363901758e-05,((((DST + ((VBs - DST) * ((DST * (0.00046556332 / (P_dyn - -0.7339573))) - -0.04735173))) * -0.04735173) - -1.0896462) * sqrt(sqrt(P_dyn))) - 1.1561314,PySRFunction(X=>((((DST + ((VBs - DST) * ((DST * (0.00046556332 / (P_dyn - -0.7339573))) - -0.04735173))) * -0.04735173) - -1.0896462) * sqrt(sqrt(P_dyn))) - 1.1561314),15
23,3.795346,((((-0.0022168825 - ((2.4834695e-5 / (P_dyn + 0.8625947)) * DST)) * VBs) + ((DST * -0.042904913) - -1.064033)) * sqrt(sqrt(P_dyn))) + -1.080887,0.0010606317519786,((((-0.0022168825 - ((2.4834695e-5 / (P_dyn + 0.8625947)) * DST)) * VBs) + ((DST * -0.042904913) - -1.064033)) * sqrt(sqrt(P_dyn))) + -1.080887,PySRFunction(X=>((((-0.0022168825 - ((2.4834695e-5 / (P_dyn + 0.8625947)) * DST)) * VBs) + ((DST * -0.042904913) - -1.064033)) * sqrt(sqrt(P_dyn))) + -1.080887),30
27,3.7957597,((((DST - P_dyn) * (((1.5094055 * VBs) / (234.79309 + square(P_dyn / 0.19218178))) + 20.743132)) + VBs) - DST) / neg(446.0412 / sqrt(sqrt(P_dyn))),0.0001562937813627,((((DST - P_dyn) * (((1.5094055 * VBs) / (234.79309 + square(P_dyn / 0.19218178))) + 20.743132)) + VBs) - DST) / neg(446.0412 / sqrt(sqrt(P_dyn))),PySRFunction(X=>((((DST - P_dyn) * (((1.5094055 * VBs) / (234.79309 + square(P_dyn / 0.19218178))) + 20.743132)) + VBs) - DST) / neg(446.0412 / sqrt(sqrt(P_dyn)))),56
23,3.7958798,(sqrt(sqrt(P_dyn)) * (((DST + (VBs * (((DST / (P_dyn - -0.8961957)) * 0.0005445807) - -0.049534053))) * -0.045994904) - -0.92040753)) + -0.97039205,0.0004270176433807,(sqrt(sqrt(P_dyn)) * (((DST + (VBs * (((DST / (P_dyn - -0.8961957)) * 0.0005445807) - -0.049534053))) * -0.045994904) - -0.92040753)) + -0.97039205,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((DST + (VBs * (((DST / (P_dyn - -0.8961957)) * 0.0005445807) - -0.049534053))) * -0.045994904) - -0.92040753)) + -0.97039205),15
24,3.7961655,((VBs / (square(square(DST / square(P_dyn - -5.2597647))) + 21.415888)) + (DST - sqrt(sqrt(VBs)))) / (-22.250631 / sqrt(sqrt(P_dyn))),0.0002396868489638,((VBs / (square(square(DST / square(P_dyn - -5.2597647))) + 21.415888)) + (DST - sqrt(sqrt(VBs)))) / (-22.250631 / sqrt(sqrt(P_dyn))),PySRFunction(X=>((VBs / (square(square(DST / square(P_dyn - -5.2597647))) + 21.415888)) + (DST - sqrt(sqrt(VBs)))) / (-22.250631 / sqrt(sqrt(P_dyn)))),36
29,3.796246,sqrt(sqrt(P_dyn)) * (((DST + ((VBs + (square(P_dyn) - DST)) / (square((DST + 28.692127) * (0.11832503 / (P_dyn + 0.45311064))) + 22.405106))) - P_dyn) * -0.047739428),0.0001988938033409,sqrt(sqrt(P_dyn)) * (((DST + ((VBs + (square(P_dyn) - DST)) / (square((DST + 28.692127) * (0.11832503 / (P_dyn + 0.45311064))) + 22.405106))) - P_dyn) * -0.047739428),PySRFunction(X=>sqrt(sqrt(P_dyn)) * (((DST + ((VBs + (square(P_dyn) - DST)) / (square((DST + 28.692127) * (0.11832503 / (P_dyn + 0.45311064))) + 22.405106))) - P_dyn) * -0.047739428)),51
26,3.796353,(((DST - sqrt(P_dyn)) * (((1.5094055 * VBs) / (square(P_dyn / 0.19173074) + 234.79309)) + 20.743132)) + VBs) / (446.0412 / neg(sqrt(sqrt(P_dyn)))),0.0001237426902718,(((DST - sqrt(P_dyn)) * (((1.5094055 * VBs) / (square(P_dyn / 0.19173074) + 234.79309)) + 20.743132)) + VBs) / (446.0412 / neg(sqrt(sqrt(P_dyn)))),PySRFunction(X=>(((DST - sqrt(P_dyn)) * (((1.5094055 * VBs) / (square(P_dyn / 0.19173074) + 234.79309)) + 20.743132)) + VBs) / (446.0412 / neg(sqrt(sqrt(P_dyn))))),56
26,3.7963805,square(1.1170775 + (-0.015411367 * DST)) + (((0.81625223 + (VBs * -0.0010719849)) * (inv(square(square(DST * 0.014784484)) + 1.1859237) + sqrt(P_dyn))) - 2.7731056),0.0006110007202121,square(1.1170775 + (-0.015411367 * DST)) + (((0.81625223 + (VBs * -0.0010719849)) * (inv(square(square(DST * 0.014784484)) + 1.1859237) + sqrt(P_dyn))) - 2.7731056),PySRFunction(X=>square(1.1170775 + (-0.015411367 * DST)) + (((0.81625223 + (VBs * -0.0010719849)) * (inv(square(square(DST * 0.014784484)) + 1.1859237) + sqrt(P_dyn))) - 2.7731056)),31
26,3.796449,(((DST * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005067308)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),0.0016074475311515,(((DST * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005067308)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),PySRFunction(X=>(((DST * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005067308)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5))),38
25,3.7968228,neg(((VBs - P_dyn) + ((((1.5094055 * VBs) / (square(P_dyn / -0.1973069) + 234.79309)) + 20.743132) * DST)) / (446.0412 / sqrt(sqrt(P_dyn)))),2.1570201646753503e-05,neg(((VBs - P_dyn) + ((((1.5094055 * VBs) / (square(P_dyn / -0.1973069) + 234.79309)) + 20.743132) * DST)) / (446.0412 / sqrt(sqrt(P_dyn)))),PySRFunction(X=>neg(((VBs - P_dyn) + ((((1.5094055 * VBs) / (square(P_dyn / -0.1973069) + 234.79309)) + 20.743132) * DST)) / (446.0412 / sqrt(sqrt(P_dyn))))),56
23,3.7969866,(VBs + ((((VBs * 1.5092971) / (square(P_dyn / -0.1976557) + 234.79309)) + 20.743137) * DST)) / (446.0412 / neg(sqrt(sqrt(P_dyn)))),0.0003398960226865,(VBs + ((((VBs * 1.5092971) / (square(P_dyn / -0.1976557) + 234.79309)) + 20.743137) * DST)) / (446.0412 / neg(sqrt(sqrt(P_dyn)))),PySRFunction(X=>(VBs + ((((VBs * 1.5092971) / (square(P_dyn / -0.1976557) + 234.79309)) + 20.743137) * DST)) / (446.0412 / neg(sqrt(sqrt(P_dyn))))),56
