complexity,loss,equation,score,sympy_format,lambda_format,simulation
29,3.8041756,((DST - ((Np - inv(Np)) * 1.9725796)) * -0.057907775) + ((Bzsouth - -0.6430652) * (((Np * Bzsouth) + (Vp + (sqrt(Bmag / Np) * DST))) * -0.0023896287)),0.0001413872626677,((DST - ((Np - inv(Np)) * 1.9725796)) * -0.057907775) + ((Bzsouth - -0.6430652) * (((Np * Bzsouth) + (Vp + (sqrt(Bmag / Np) * DST))) * -0.0023896287)),PySRFunction(X=>((DST - ((Np - inv(Np)) * 1.9725796)) * -0.057907775) + ((Bzsouth - -0.6430652) * (((Np * Bzsouth) + (Vp + (sqrt(Bmag / Np) * DST))) * -0.0023896287))),8
29,3.804399,(((((Np * square(Bzsouth)) + ((((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp) * (Bzsouth + 0.6888091))) * 0.040499095) + DST) - (Np + Np)) * -0.05831824,3.711424058066723e-05,(((((Np * square(Bzsouth)) + ((((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp) * (Bzsouth + 0.6888091))) * 0.040499095) + DST) - (Np + Np)) * -0.05831824,PySRFunction(X=>(((((Np * square(Bzsouth)) + ((((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp) * (Bzsouth + 0.6888091))) * 0.040499095) + DST) - (Np + Np)) * -0.05831824),6
28,3.8045402,((((((Np * Bzsouth) + (((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp)) * (Bzsouth + 0.6888091)) * 0.040499095) + DST) - (Np + Np)) * -0.05831824,9.889835985283752e-05,((((((Np * Bzsouth) + (((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp)) * (Bzsouth + 0.6888091)) * 0.040499095) + DST) - (Np + Np)) * -0.05831824,PySRFunction(X=>((((((Np * Bzsouth) + (((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp)) * (Bzsouth + 0.6888091)) * 0.040499095) + DST) - (Np + Np)) * -0.05831824),6
29,3.8046286,(sqrt(Np) - 2.4867167) + ((DST + (((((((DST / Np) + Vp) - (Np + (DST * -0.4807411))) * 0.02141898) - 2.4179542) * Bzsouth) * sqrt(Np))) * -0.06262474),0.0003505289357251,(sqrt(Np) - 2.4867167) + ((DST + (((((((DST / Np) + Vp) - (Np + (DST * -0.4807411))) * 0.02141898) - 2.4179542) * Bzsouth) * sqrt(Np))) * -0.06262474),PySRFunction(X=>(sqrt(Np) - 2.4867167) + ((DST + (((((((DST / Np) + Vp) - (Np + (DST * -0.4807411))) * 0.02141898) - 2.4179542) * Bzsouth) * sqrt(Np))) * -0.06262474)),5
28,3.8047135,((DST - (Np * 1.8461952)) * -0.057907775) + (((Bzsouth - -0.64244246) * -0.0024093296) * ((sqrt(Bmag / Np) * DST) + (Vp + (Np * (-1.1599557 + Bzsouth))))),7.926381176033095e-05,((DST - (Np * 1.8461952)) * -0.057907775) + (((Bzsouth - -0.64244246) * -0.0024093296) * ((sqrt(Bmag / Np) * DST) + (Vp + (Np * (-1.1599557 + Bzsouth))))),PySRFunction(X=>((DST - (Np * 1.8461952)) * -0.057907775) + (((Bzsouth - -0.64244246) * -0.0024093296) * ((sqrt(Bmag / Np) * DST) + (Vp + (Np * (-1.1599557 + Bzsouth)))))),8
30,3.8047452,((DST - (Np / 0.50610435)) * -0.05700501) - ((((Vp + (DST / sqrt((Np + 0.03913548) / Bmag))) + (Bmag + (Bzsouth * Np))) * (Bzsouth + 0.68669724)) * 0.0022875767),3.508653247072176e-05,((DST - (Np / 0.50610435)) * -0.05700501) - ((((Vp + (DST / sqrt((Np + 0.03913548) / Bmag))) + (Bmag + (Bzsouth * Np))) * (Bzsouth + 0.68669724)) * 0.0022875767),PySRFunction(X=>((DST - (Np / 0.50610435)) * -0.05700501) - ((((Vp + (DST / sqrt((Np + 0.03913548) / Bmag))) + (Bmag + (Bzsouth * Np))) * (Bzsouth + 0.68669724)) * 0.0022875767)),7
27,3.8047533,(DST * -0.06597593) - neg(((sqrt(Np) + -1.8361402) - ((((sqrt(sqrt(Np)) * Vp) + DST) * 0.0024798387) * (Bzsouth + 0.43400928))) + (Bzsouth / 1.6291528)),1.0644523115107984e-05,(DST * -0.06597593) - neg(((sqrt(Np) + -1.8361402) - ((((sqrt(sqrt(Np)) * Vp) + DST) * 0.0024798387) * (Bzsouth + 0.43400928))) + (Bzsouth / 1.6291528)),PySRFunction(X=>(DST * -0.06597593) - neg(((sqrt(Np) + -1.8361402) - ((((sqrt(sqrt(Np)) * Vp) + DST) * 0.0024798387) * (Bzsouth + 0.43400928))) + (Bzsouth / 1.6291528))),9
26,3.8047938,(DST * -0.064612396) - (((((Vp * sqrt(sqrt(Np))) + DST) * 0.0024686735) * (Bzsouth + 0.42736304)) - (((Bzsouth / 1.6374867) + -1.8361787) + sqrt(Np))),0.0003709599946788,(DST * -0.064612396) - (((((Vp * sqrt(sqrt(Np))) + DST) * 0.0024686735) * (Bzsouth + 0.42736304)) - (((Bzsouth / 1.6374867) + -1.8361787) + sqrt(Np))),PySRFunction(X=>(DST * -0.064612396) - (((((Vp * sqrt(sqrt(Np))) + DST) * 0.0024686735) * (Bzsouth + 0.42736304)) - (((Bzsouth / 1.6374867) + -1.8361787) + sqrt(Np)))),9
24,3.8048077,((DST - Np) + (Bmag + ((Vp + ((4.378272 - sqrt(Np)) * DST)) * (Bzsouth * 0.044066433)))) / (-10.365372 - (54.477882 / Bmag)),0.0006611729670601,((DST - Np) + (Bmag + ((Vp + ((4.378272 - sqrt(Np)) * DST)) * (Bzsouth * 0.044066433)))) / (-10.365372 - (54.477882 / Bmag)),PySRFunction(X=>((DST - Np) + (Bmag + ((Vp + ((4.378272 - sqrt(Np)) * DST)) * (Bzsouth * 0.044066433)))) / (-10.365372 - (54.477882 / Bmag))),15
28,3.8050122,((DST - (Np / 0.50610435)) * -0.05700501) - (((Vp + ((DST / sqrt(Np / Bmag)) + (Bmag + (Bzsouth * Np)))) * (Bzsouth + 0.68669724)) * 0.0022875767),0.0002157871655541,((DST - (Np / 0.50610435)) * -0.05700501) - (((Vp + ((DST / sqrt(Np / Bmag)) + (Bmag + (Bzsouth * Np)))) * (Bzsouth + 0.68669724)) * 0.0022875767),PySRFunction(X=>((DST - (Np / 0.50610435)) * -0.05700501) - (((Vp + ((DST / sqrt(Np / Bmag)) + (Bmag + (Bzsouth * Np)))) * (Bzsouth + 0.68669724)) * 0.0022875767)),7
